Comment,Designator,Footprint,LCSC
105450-0101,J1,USB_C_MOLEX_105450-0101,C134092
LESD5Z5.0CT1G,"D39,D40,D41",D_SOD-523,C136167
0.1uF,C3,C_0402_1005Metric,C1525
10uF,"C2,C4",C_0402_1005Metric,C15525
0k,R2,R_0402_1005Metric,C17168
10K,"R1,R5",R_0402_1005Metric,C25744
5.1k,"R3,R4",R_0402_1005Metric,C25905
WS2812B,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D4,D5,D6,D7,D8,D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2843785
ESP32-S3-WROOM-1,U1,ESP32-S3-WROOM-1,C2913204
TS-1187A-B-A-B,"SW1,SW2",SW_TS-1187A-B-A-B,C318884
22uF,C5,C_0402_1005Metric,C415703
AZ1117CD-3.3TRG1,U2,TO-252-2,C460427
1uF,C1,C_0402_1005Metric,C52923
1N5819HW-7-F,"D36,D37,D38",D_SOD-123,C82544
1000uF,C6,C_Elec_8x10.2,C99833
TAG_CONNECT_DBG,J5,Tag-Connect_TC2030-IDC-FP_2x03_P1.27mm_Vertical,
TAG_CONNECT_JTAG,J2,Tag-Connect_TC2050-IDC-FP_2x05_P1.27mm_Vertical,
HEADER_DBG,J3,PinHeader_2x03_P1.27mm_Vertical,
HEADER_JTAG,J4,PinHeader_2x05_P1.27mm_Vertical,
