Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,113.028,-103.378,0.0,top
C2,10uF,C_0402_1005Metric,114.554,-103.886,90.0,top
C3,0.1uF,C_0402_1005Metric,115.57,-103.886,90.0,top
C4,10uF,C_0402_1005Metric,125.476,-111.506,-90.0,top
C5,22uF,C_0402_1005Metric,115.062,-105.41,0.0,top
C6,1000uF,C_Elec_8x10.2,75.6412,-84.5058,0.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,112.09818,-57.533253,346.6,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,119.445568,-59.963169,336.8,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,126.272148,-63.608224,327.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,132.378691,-68.362037,317.2,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,137.586982,-74.085875,307.4,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,141.745022,-80.61269,297.6,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,144.731461,-87.752003,287.8,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,146.459143,-95.295459,278.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,146.877647,-103.022907,268.2,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,145.974759,-110.70883,258.4,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,143.776828,-118.128918,248.6,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,140.348001,-125.066623,238.8,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,135.788344,-131.319474,229.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,130.230927,-136.704985,219.2,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,123.83794,-141.065985,209.4,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,116.795956,-144.275202,199.6,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,109.31049,-146.238978,189.8,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,101.6,-146.9,180.0,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,93.88951,-146.238978,170.2,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,86.404044,-144.275202,160.4,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,79.36206,-141.065985,150.6,top
D22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,72.969073,-136.704985,140.8,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,67.411656,-131.319474,131.0,top
D24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,62.851999,-125.066623,121.19999999999999,top
D25,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,59.423172,-118.128918,111.4,top
D26,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,57.225241,-110.70883,101.60000000000002,top
D27,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,56.322353,-103.022907,91.80000000000001,top
D28,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,56.740857,-95.295459,82.0,top
D29,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,58.468539,-87.752003,72.19999999999999,top
D30,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,61.454978,-80.61269,62.400000000000006,top
D31,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,65.613018,-74.085875,52.599999999999994,top
D32,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,70.821309,-68.362037,42.80000000000001,top
D33,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,76.927852,-63.608223,33.0,top
D34,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,83.754432,-59.963169,23.200000000000003,top
D35,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,91.10182,-57.533253,13.400000000000006,top
D36,1N5819HW-7-F,D_SOD-123,99.314,-63.754,270.0,top
D37,1N5819HW-7-F,D_SOD-123,82.296,-91.44,180.0,top
D38,1N5819HW-7-F,D_SOD-123,80.01,-106.426,180.0,top
D39,LESD5Z5.0CT1G,D_SOD-523,97.155,-62.357,-90.0,top
D40,LESD5Z5.0CT1G,D_SOD-523,104.1404,-67.1576,0.0,top
D41,LESD5Z5.0CT1G,D_SOD-523,104.14,-65.5574,0.0,top
J1,105450-0101,USB_C_MOLEX_105450-0101,101.6,-55.88,180.0,top
J3,HEADER_DBG,PinHeader_2x03_P1.27mm_Vertical,84.582,-110.744,0.0,top
J4,HEADER_JTAG,PinHeader_2x05_P1.27mm_Vertical,86.077435,-95.634251,0.0,top
R1,10K,R_0402_1005Metric,113.028,-104.394,0.0,top
R2,0k,R_0402_1005Metric,113.03,-105.41,180.0,top
R3,5.1k,R_0402_1005Metric,107.696,-58.674,-90.0,top
R4,5.1k,R_0402_1005Metric,101.5746,-63.7794,90.0,top
R5,10K,R_0402_1005Metric,112.5474,-96.1136,-90.0,top
SW1,TS-1187A-B-A-B,SW_TS-1187A-B-A-B,119.1768,-98.679,0.0,top
SW2,TS-1187A-B-A-B,SW_TS-1187A-B-A-B,119.1768,-91.0336,0.0,top
U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,101.6615,-98.786971,180.0,top
U2,AZ1117CD-3.3TRG1,TO-252-2,119.126,-111.506,0.0,top
